,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
45, ñ A)U Thant,U Thant,Martin Luther King.,Nelson Mandela,Angela Markel,None of these,._____.received the first Jawaharlal Nehru Award," :The Jawaharlal Nehru Award for International Understanding is an international award presented by the Government of India in honour of Jawaharlal Nehru, the countryís first prime minister.U Thant from Burma received the first Jawaharlal Nehru Award",15.1
46, ñ C)Rajiv Gandhi,Rajaji,Mahathma Gandhi,Rajiv Gandhi,Jawaharlal Nehru,None of these,Manav Seva Award has been instituted in the memory of _____..," :Rajiv Gandhi Manav Seva Award is conferred on three individuals who make outstanding contribution in the field of Child Protection, Child Development or Child Welfare for over ten years.",15.1
47, ñ D)Environmental achievements,Technology achievements,Education achievements,Cultural achievements,Environmental achievements,None of these,UNEP established the Global 500 Roll of Honour in 1987 to recognize the, :The United Nations Environment Programme (UNEP) established the Global 500 Roll of Honour in 1987 to recognize the environmental achievements of individuals and organizations around the world.,15.1
48, ñ B)Vinod Bhave,Sanjiv Chaturvedi,Vinod Bhave,Nileema Mishra,Arvind Kejriwal,None of these,_____ was the first Indian to receive the Magaysay Award," :The Ramon Magsaysay Award is an annual award established to perpetuate former Philippine President Ramon Magsaysayís example of integrity in governance, courageous service to the people, and pragmatic idealism within a democratic society.",15.1
49, ñ D)Khushwant Singh,Amitab Chaudhary,Aruna Asaf Ali,Jayprakash Narayan,Khushwant Singh,None of these,_____..refused to accept Padma Bhushan Award," :Khushwant Singh was awarded the Padma Bhushan in 1974 . In 1984, however he returned the award in protest against the siege of the Golden Temple by the Indian Army (Operation Blue star). In 2007, the Indian government awarded Singh the Padma Vibhushan.",15.1
50, ñ A)2011,2011,2012,2013,2015,None of these,Archer Deepika Kumari awarded with Arjuna Award in the year, :Deepika Kumari is Indiaís top-ranked female archer awarded with Arjuna Award in 2011,15.1
51, ñ B)Padma Shri Award,Dronacharya Award,Padma Shri Award,Arjuna Award,Dada Shaheb Phalke Award,None of these,Saina Nehwal received _____. Award in 2010," :Sania Mirza and Saina Nehwal will be awarded the Padma Bhushan award by the Indian government.Saina Nehwal is an Indian badminton player, former world no.1 in Womenís Singles] She is the first Indian to win a medal in Badminton at the Olympics Padma Shri Award ñ 2010 Padma Bhushan 2016",15.1
52, ñ C)2013,2012,2014,2013,2015,None of these,The Shooter Vijay Kumar awarded with Padma Shri Award in which year ?, :Vijay Kumar receives the Padma Shri from President Pranab Mukherjee.The shooter awarded for his exceptional achievements in the field of Sports.,15.1
53, ñ A)Carrom,Carrom,Boxing,Chess,Golf,None of these,Mariya Irudayam received Arjuna Award in 1996.He was related to which Sport ?, :Maria Irudayam was the only carrom player to  receive  the Arjuna Award (1996),15.1
54, ñ D)Rohit Sharma,Ravichandra Aswin,Yuvraj Singh,Zaheer Khan,Rohit Sharma,None of these,Who received the Arjuna Award in 2015 ?, :Cricketer Rohit Sharma received Arjuna award for the year 2015 .,15.1
55, ñ E)Both 1 and 4,1993,2000,1998,2014,Both 1 and 4,The Rajiv Gandhi Khel Ratna Award is not awarded in which year ?,:,15.1
56, ñ D)2014,2011,2012,2013,2014,None of these,In which year the Asian Tour Order of Merit leader Anirban received the Arjuna Award ? ," :In 2014, the Asian Tour Order of Merit leader Anirban received the Arjuna Award for his outstanding performance in the field of sports",15.1
57, ñ A)2014,2014,2011,2010,2013,None of these,The Cricketer Yuvraj Singh received Padma Shri Award in," :Yuvraj has been a member of the Indian cricket team in ODIs since October 2000.n2014, he was awarded the Padma Shri, Indiaís fourth highest civilian honour.",15.1
58, ñ C)Rajiv Gandhi Khel Ratna,Padmashri Award,Arjuna Award,Rajiv Gandhi Khel Ratna,Dhyanchand Award,None of these,Sania Mirza awarded with _____. Award in 2015, :Wimbledon 2015 doubles champion Sania Mirza has been awarded the coveted Rajiv Gandhi Khel Ratna award by the Union sports ministry.,15.1
59, ñ D)2013,2012,2010,2007,2013,None of these,PV Sindhu received Arjuna award in which year ?, :Badminton player P.V. Sindhu  received Arjuna Award 2013 by Minister of Youth Affairs and Sports Shri Jitendra Singh,15.1
60, ñ C)Manoj Kumar,Gulzar,Parn,Manoj Kumar,Shashi Kapoor,None of these,Who among the following has been honoured with the prestigious Dadasaheb Phalke Award for 2016 ?," :Veteran Bollywood star Manoj Kumar, best known for his patriotic films Purab Aur Paschim, Upkar and Kranti, was chosen for the prestigious Dadasaheb Phalke award, the highest official recognition in Indian cinema Shashi Kapoor ñ 2015",15.1
61, ñ B)Rajasthan,Madhya Pradesh,Rajasthan,Karntaka,Maharshtra,None of these,Mewar Award is given by which state ?," :The Maharana Mewar Award is a State Award. This award has been instituted to honour work of permanent value to those who consider it their duty, like the Diwan of Shri Eklingji still do, to benefit society through services in the field of education, literature, social services, philanthropy and character building activities.",15.1
62, ñ D)Rajagopal P. V.,Balraj Puri,A.R.Rahman,M. S. Swaminathan,Rajagopal P. V.,None of these,Who among the following is a winner of the Indira Gandhi Award for National integration in 2014 ?," :The Indira Gandhi Award for National Integration is a prestigious award accorded by the Indian National Congress, after former Prime Minister of India Indira Gandhi. This Award is given annually starting from 1985 to distinguished persons/institutions for promoting national integration and understanding and fellowship amongst religious groups, communities, ethnic groups, cultures, languages and traditions of India and the strengthening, through thought and action of the nationís sense of solidarity.",15.1
63, ñ E)Both 1 and 4,Pramod Patil,Ashwika Kapur,Mike Pandey,Ananda Kumar,Both 1 and 4,Who won the ëGreen Oscarí Award for the year 2015 ?,:,15.1
64, ñ D)Ramon Magsaysay Award,Jawaharlal Nehru Award,Padma Bhusan Award,Oscar Award,Ramon Magsaysay Award,None of these,_____ is Asiaís highest honor," :Established in 1957, the Ramon Magsaysay Award is Asiaís highest honor and is widely regarded as the regionís equivalent of the Nobel Prize.  It celebrates the memory and leadership example of the third Philippine president after whom the award is named, and is given every year to individuals or organizations in Asia who manifest the same selfless service and transformative influence that ruled the life of the late and beloved Filipino leader.",15.1
65, ñ B)Zimbabwe, USA,Zimbabwe,China,England,None of these,Robert Mugabe awarded with Chinaís Confucius Peace Prize 201E)He belongs to which country ?," :Zimbabweís controversial president, Robert Mugabe, has been awarded Chinaís Confucius Peace Prize, despite widespread accusations of war crimes and human rights violations. The 91-year-old is Africaís oldest leader and has been in power for almost three decades.",15.1
66, ñ D)Goonj,Smile Foundation,Lepra Society,Pratham,Goonj,None of these,Anshu Gupta received the Asiaís coveted Ramon Magsaysay Award.He was the founder of _____," :Whistleblower bureaucrat Sanjeev Chaturvedi and human rights activist Anshu Gupta are among five persons from India, Laos, Myanmar, and the Philippines who will receive Asiaís coveted Ramon Magsaysay Award. Anshu Gupta, the founder of NGO Goonj",15.1
67, ñ A)Satya Nadella,Satya Nadella,Ramakrishna,Namita Roy,Narendra R Kumar,None of these,Who has been selected for a Pravasi Bharatiya Samman Award 2015?," :Satya Nadella, CEO of Microsoft, has been selected for a Pravasi Bharatiya Samman Award.",15.1
68, ñ D)Rekha,Amitabh Bachchan,Salma Khan,Aishwarya Rai,Rekha,None of these,Who was honoured with the third Yash Chopra Memorial Award for the year 2016?, :Veteran Bollywood actress Rekha was honoured with the third Yash Chopra Memorial Award in Mumbai.,15.1
69, ñ C)Raghuveer Chaudhari,Rajendra Shah,Bhalchandra Nemade,Raghuveer Chaudhari,Amar Kant,None of these,"Who has been conferred with Indiaís the highest literary honour, the Jnanpith Award for 2015 ?"," :Gujarati writer Raghuveer Chaudhari has been conferred with Indiaís the highest literary honour, the Jnanpith Award for 2015 Chaudhari, whose most noted works include novels ëAmrutaí and ëUparvas,í has become the 56th writer and fourth Gujarati literary artist to receive the prestigious award.",15.1
70," ñ D)Rs.5,00,000","Rs.3,00,000","Rs.1,00,000","Rs.10,00,000","Rs.5,00,000",None of these,How much cash prize is awarded in Dhyan Chand Award ?," :Dhyan Chand Award is the Indiaís highest award for lifetime achievement in sports and games, given by the Ministry of Youth Affairs and Sports, Government of India.",15.1
71, ñ A)Rs.7.5 lakh,Rs.7.5 lakh,Rs.6.5 lakh,Rs.7 Lakh,Rs.6 Lakh,None of these,How much cash prize is awarded in  Rajiv Gandhi Khel Ratna Award ?," :Rajiv Gandhi Khel Ratna, officially known as Rajiv Gandhi Khel Ratna Award in Sports and Games, is the highest sporting honour of the Republic of India. As of 2016, the award comprises a medallion, a certificate, and a cash prize of Rs.7.5 lakh (US$11,000).",15.1
72, ñ C)Bronze,Gold,Silver,Bronze,Platinum,None of these,"Arjuna Awards carries a cash prize of Rs. 500,000, and statue, which is made up of ?"," :The Arjuna Awards are given by the Ministry of Youth Affairs and Sports, government of India to recognize outstanding achievement in National sports. Instituted in 1961, the award carries a cash prize of Rs. 500,000, a bronze statue of Arjuna and a scroll.",15.1
73, ñ C)Rs.11 lakh,Rs.1 lakh,Rs.10 lakh,Rs.11 lakh,Rs.8 lakh,None of these,Jnanpith Award carries a cash prize of," :The Jnanpith Award is an Indian literary award presented annually by the Bharatiya Jnanpith to an author for their ìoutstanding contribution towards literatureî. Instituted in 1961 . The cash prize has been revised to Rs.11 lakh (US$16,000) and a bronze replica of Saraswati, the Hindu goddess of knowledge and wisdom will be presented to each awardee.",15.1
74, ñ D)15,11,16,14,15,None of these,Jnapith Award has been presented for works in how many languages ?," :Jnapith Award :Out of twenty-three eligible languages the award has been presented for works in fifteen languages: Hindi (ten), Kannada (eight), Bengali and Malayalam (five each), Gujarati,Marathi, Odia, and Urdu (four each), Telugu (threE), Assamese, Punjabi, and Tamil (two each), Kashmiri, Konkani, andSanskrit (one each).",15.1
